#	Start	End
5338.85	5350.40
5351.41	5355.00
5357.50	5360.27
5360.27	5363.58
5363.58	5366.27
5366.44	5373.01
5373.01	5374.70
5378.50	5385.37
5388.00	5395.70
5395.70	5399.05
5399.05	5402.50
5408.00	5411.80
5411.80	5416.40
5416.40	5420.00
5422.55	5426.81
5433.30	5438.05
5443.70	5448.10
5453.88	5457.27
5460.96	5464.95
5465.00	5467.89
5471.70	5475.20
5485.92	5488.80
5496.05	5498.80
5500.00	5502.58
5504.78	5508.00
5513.50	5516.00
5516.00	5518.90
5518.90	5521.85
5521.85	5523.09
5524.40	5527.40
5531.20	5534.00
5534.00	5536.30
5542.20	5544.83
5545.50	5548.00
5552.79	5556.30
5559.22	5561.11
5561.40	5564.71
5564.71	5568.30
5568.30	5571.21
5571.33	5574.55
5574.62	5577.50
5577.60	5580.12
5580.60	5583.27
5585.60	5591.55
5593.05	5596.00
5597.20	5599.33
6447.35	6451.82
6454.38	6457.85
6467.37	6470.51
6470.51	6473.62
6480.50	6483.55
6490.85	6498.49
6498.49	6500.78
6517.38	6520.37
6525.21	6529.80
6532.15	6534.93
6545.14	6547.29
6568.12	6570.32
6573.15	6576.23
6579.70	6582.28
6591.00	6595.00
6596.60	6600.60
6603.60	6606.59
6607.52	6610.60
6623.02	6626.00
6626.61	6628.62
6632.60	6635.33
6638.78	6641.00
6642.00	6645.00
6646.00	6648.93
6652.60	6655.12
6662.18	6664.50
6675.77	6679.99
6694.00	6697.93
6697.93	6700.30
6702.65	6706.17
6709.32	6711.32
6711.68	6714.63
6714.63	6718.81
6720.78	6723.16
6724.36	6727.80
6731.07	6735.15
6737.03	6739.80
6739.80	6744.33
6744.35	6746.60
6749.10	6751.10
6751.69	6753.93
6766.85	6768.75
6770.32	6774.32
6785.33	6788.60
8490.00	8509.00
8512.07	8517.11
8523.00	8564.10
8569.80	8573.80
8580.26	8584.26
8590.95	8594.95
8596.83	8600.83
8605.08	8609.00
8609.00	8612.95
8612.95	8618.28
8619.60	8623.60
8644.00	8677.63
8677.63	8682.79
8686.62	8691.80
8697.45	8701.45
8708.39	8715.20
8715.83	8719.83
8734.04	8738.04
8745.42	8749.42
8755.19	8759.19
8761.97	8765.97
8782.44	8786.44
8788.52	8794.70
8794.70	8798.48
8802.62	8810.57
8814.88	8818.88
8822.22	8826.22
8836.43	8840.43
8844.74	8848.74
8861.59	8865.00
8865.00	8870.43
8874.02	8878.02
8890.85	8894.85
8918.04	8922.04
8941.06	8948.26
